clean_text,label
yang pasti bukan yang kere kayak lu,negatif
faktanya apa ada anggota dpr yang usul jadi ibu kota provinsi you cari tahu jangan cuma saras soros,negatif
tempe medianya soros kemarin bilang hutan mangkrak kwkwkw sisanya berita cuma dari katanya mirip koran gosip wkw,negatif
memang harus mati semua dulu elit negeri ini mereka tidak ada keinginan untuk sedikit membangun negeri ini saling menutupi dan bekerjasama agar kelak ketika gilirannya berkuasa mereka bisa saling membantu assuuuu kabeh,negatif
jokowi dan gerombolannya,netral
termasuk gerombolan alumninya,negatif
pak salah strategi dan perhitungan dengan memilih dan mendukung prabowo sebagai penggantinya seorang ambisius akan menjanjikan apapun bahkan sejuta bintang untuk meraih ambisinya bestie tidak dikenal dalam politik,negatif
jadi red light distrik lebih tepat,negatif
fakta mana yang anda kasih sini kasih sama gue mau lihat fakta yang lu omongkan,negatif
termul makanannya dusta mulyono dikasih fakta dia kepanasan,negatif
negara jangan diajak belajar terus bang kapan pintarnya sudah tahun merdeka ini bang sudah tua banget yang benar negara harus menghukum berat mereka yang membuat kebijakan enggak jelas bikin bangkrut republik dan itu harus hukuman mati jokodok dan mastermind nya juga kroninya,negatif
ini jelas merugikan negara bisa dong masuk penjara,negatif
dilanjutkan ogah banget cwih,negatif
memang lu bisa adu argumentasi sini gue jabanin enggak usah banyak omong kosong ini malah adu followers wkwk sinting,negatif
memang gue siapa kelihatan kocak bahasa lu sok kelihatan,negatif
coba tanyakan ke bapakmu sekarang investor itu pada kemana tolong lu jangan ikut an ndabrus ya bran pakai brain dalam ambil keputusan semua untuk kemaslahatan rakyat itu yang harus lo ingat bukan untuk pribadi golongan t,negatif
anaknya buang ke sono terus bapaknya diproses karena merugikan negara berani enggak lu wo,negatif
sdm rendah itu lu mengomong mental nyinyir doang minimal adu argumen by data biar kelihatan oonnya,negatif
jangankan mulyono sama siplester saja enggak berkutik,negatif
simple saja yang koar dulu sudah banyak investor yang antri dan harapan palsu lainnya dari mulut siapa kalo sampai stuck ya jokowi dkk patut di adili karena jelas merugikan negara,negatif
tidak seenteng itu harus diusut juga pembodohan publik oleh sih tol l rajanya orang bodoh yang bilang enggak pakai apbn,negatif
dengan penggantinya bikin kebijakan serampangan enaknya bikin kepanjangan dari program serampangan ikn inisiatif korupsi nasional food estate foya foya orde elit sawah terbengkalai akhirnya tidak efektif danantara dana andalan nasional untuk tindakan amburadul,negatif
stres lu ngamuk ikn mangkrak enggak duit buat lanjutkan utang negara saja bunganya belum kebayar sudah jangan kayak orang gila lu,negatif
lucu memang growth ekonominya apa ada di daerah yang tidak ada penduduknya investor itu yang dicari growth,negatif
jangan mau anjir dikasih narasi rekonsiliasi rekonsiliasi nasional jowoki mesti diadili soalnya termul sekarang deh mulai banyak yang mengeluarkan jurus ini biar mereka segerombolan bisa bebas dari kesalahan,negatif
yang mangkrak itu ladang mak kau enggak pernah digarap bapak kau,negatif
akhh langsung saja adilijokowi,negatif
proyek mercu suar rakyat dibiarkan lapar lalu dihibur dengan melemparkan bansos,negatif
sependapat perlu dikabarkan terus hingga titik fokus publik berasa membakar,negatif
yang dipanggil gerombolan biasanya cuman pakai insting enggak mikir mereka,negatif
rakyat lagi saja yang nanggung akibatnya memang pada enggak becus mengurus negara kontol memang,negatif
jika terbukti wajib ada yang ngandang dan siapapun yang dibawahnya wajib diadili kelakuan terbangsat pemimpin negara buang duit negara enggak terukur banyaknya minimal keparat itu tahu menjalani hukuman didunia bisa jadi ngurangin hisab tanggung jawab mereka diakhirat,negatif
lah kan goblok namanya sudah diingatkan juga,negatif
kurang anjing apa coba gerombolan ini seandainya hukum di indon ditegak kan tapi sudahlah itu hanya mimpi semoga karma semesta berlaku adanya,negatif
harunya mereka semua diadili,negatif
nggih mas paham saya kurang teliti membacanya,negatif
